# Device Configuration File - Updated: 2026-01-08 19:24:09
# Format: DeviceID,MACAddress,IPAddress,PatientName,RoomNumber,BedNumber

BRACELET_01,BC:FF:4D:29:D2:95,192.168.18.251,,,
BRACELET_02,3C:E9:0E:E0:8A:CE,192.168.18.8,,,
BRACELET_03,84:F3:EB:75:60:8C,192.168.18.36,,,
BRACELET_04,AA:BB:CC:DD:EE:01,192.168.18.37,,,
BRACELET_05,AA:BB:CC:DD:EE:02,192.168.18.38,,,
BRACELET_06,AA:BB:CC:DD:EE:03,192.168.18.39,,,
BRACELET_07,AA:BB:CC:DD:EE:04,192.168.18.40,,,
BRACELET_08,AA:BB:CC:DD:EE:05,192.168.18.41,,,
BRACELET_09,AA:BB:CC:DD:EE:06,192.168.18.42,,,
BRACELET_10,AA:BB:CC:DD:EE:07,192.168.18.43,,,
